occupation,women,men,employed
"Financial clerks, all other",60.8,39.2,82
Public relations specialists,60.9,39.1,118
Writers and authors,60.9,39.1,226
"Hotel, motel, and resort desk clerks",60.9,39.1,125
"Archivists, curators, and museum technicians",61.4,38.6,59
"Claims adjusters, appraisers, examiners, and investigators",61.7,38.3,350
"Counter attendants, cafeteria, food concession, and coffee shop",62.1,37.9,225
Recreation and fitness workers,62.3,37.7,480
Veterinarians,62.5,37.5,89
Tax preparers,63.1,36.9,107
"Medical, dental, and ophthalmic laboratory technicians",63.1,36.9,70
Public relations and fundraising managers,63.5,36.5,73
Probation officers and correctional treatment specialists,63.5,36.5,99
Insurance underwriters,63.8,36.2,104
"Credit authorizers, checkers, and clerks",63.8,36.2,55
Education administrators,64.2,35.8,918
Miscellaneous media and communication workers,64.2,35.8,112
Customer service representatives,65.1,34.9,"2,494"
"Religious workers, all other",65.3,34.7,85
Other teachers and instructors,65.4,34.6,907
Miscellaneous health technologists and technicians,66,34,160
First-line supervisors of personal service workers,66.2,33.8,232
"Graders and sorters, agricultural products",67.1,32.9,110
Physical therapist assistants and aides,67.2,32.8,83
"Other education, training, and library workers",67.7,32.3,161
Laundry and dry-cleaning workers,68,32,151
Physical therapists,68.2,31.8,258
Psychologists,68.9,31.1,187
Clinical laboratory technologists and technicians,69.3,30.7,376
Telemarketers,69.4,30.6,58
Medical and health services managers,69.8,30.2,671
Waiters and waitresses,69.9,30.1,"2,016"
"Food servers, nonrestaurant",69.9,30.1,207
First-line supervisors of office and administrative support workers,70.1,29.9,"1,425"
Social and community service managers,70.2,29.8,390
Human resources managers,70.8,29.2,327
Diagnostic related technologists and technicians,70.8,29.2,319
Physician assistants,70.9,29.1,116
Bill and account collectors,71.3,28.7,139
Human resources workers,72.1,27.9,736
"Compensation, benefits, and job analysis specialists",72.3,27.7,59
Counselors,72.3,27.7,853
Respiratory therapists,72.4,27.6,100
Cashiers,72.7,27.3,"3,253"
Flight attendants,72.9,27.1,98
Sewing machine operators,73.2,26.8,197
"Miscellaneous community and social service specialists, including",74.8,25.2,76
"Court, municipal, and license clerks",75.2,24.8,90
"Office and administrative support workers, all other",75.2,24.8,576
Social and human service assistants,75.3,24.7,232
"Tailors, dressmakers, and sewers",75.9,24.1,77
"Eligibility interviewers, government programs",76.7,23.3,62
Fundraisers,77.3,22.7,84
"Information and record clerks, all other",78.1,21.9,110
Nonfarm animal caretakers,78.4,21.6,263
"Models, demonstrators, and product promoters",78.4,21.6,61
Elementary and middle school teachers,79.3,20.7,"3,268"
Health practitioner support technologists and technicians,79.4,20.6,632
Librarians,79.5,20.5,194
Data entry keyers,79.6,20.4,267
"Library assistants, clerical",80.1,19.9,96
Miscellaneous legal support workers,80.2,19.8,186
Loan interviewers and clerks,80.4,19.6,120
File clerks,81.4,18.6,182
Miscellaneous personal appearance workers,81.8,18.2,397
Social workers,82.5,17.5,802
Massage therapists,82.7,17.3,172
Travel agents,82.7,17.3,89
"Office clerks, general",83.1,16.9,"1,271"
"Therapists, all other",83.3,16.7,221
Personal care aides,83.7,16.3,"1,365"
Phlebotomists,83.8,16.2,112
Veterinary assistants and laboratory animal caretakers,84.2,15.8,61
Insurance claims and policy processing clerks,84.3,15.7,237
"Interviewers, except eligibility and loan",85,15,142
"Meeting, convention, and event planners",85.1,14.9,137
Tellers,85.2,14.8,306
Special education teachers,85.6,14.4,422
"Hosts and hostesses, restaurant, lounge, and coffee shop",85.9,14.1,324
Billing and posting clerks,85.9,14.1,473
Paralegals and legal assistants,86.3,13.7,424
Occupational therapists,87.6,12.4,122
Maids and housekeeping cleaners,88,12,"1,527"
Teacher assistants,88.5,11.5,989
"Nursing, psychiatric, and home health aides",88.6,11.4,"1,936"
"Bookkeeping, accounting, and auditing clerks",88.7,11.3,"1,089"
Licensed practical and licensed vocational nurses,89.5,10.5,630
Payroll and timekeeping clerks,89.5,10.5,129
Word processors and typists,89.8,10.2,94
Registered nurses,89.9,10.1,"3,159"
Receptionists and information clerks,91,9,"1,267"
Medical assistants,91.6,8.4,539
Medical records and health information technicians,91.7,8.3,167
Nurse practitioners,92.2,7.8,175
"Hairdressers, hairstylists, and cosmetologists",92.6,7.4,806
Childcare workers,93.7,6.3,"1,225"
Dietitians and nutritionists,94.1,5.9,114
Dental hygienists,94.9,5.1,168
Secretaries and administrative assistants,95,5,"2,769"
Dental assistants,95.9,4.1,299
Preschool and kindergarten teachers,97.7,2.3,712
Speech-language pathologists,98,2,141
health educators and community health workers,,100,
"and tenders, metal and plastic",,100,
