id,Geography,population,medianHouseholdIncome
13163,"Jefferson County, Georgia",16201,28417
13165,"Jenkins County, Georgia",9055,27398
13167,"Johnson County, Georgia",9694,32685
13169,"Jones County, Georgia",28701,54020
13171,"Lamar County, Georgia",18195,40364
13173,"Lanier County, Georgia",10382,31682
13175,"Laurens County, Georgia",47802,33632
13177,"Lee County, Georgia",29134,62797
13179,"Liberty County, Georgia",63949,42484
13181,"Lincoln County, Georgia",7712,34720
13183,"Long County, Georgia",17243,50848
13185,"Lowndes County, Georgia",113898,38915
13187,"Lumpkin County, Georgia",31094,40634
13189,"McDuffie County, Georgia",21558,37021
13191,"McIntosh County, Georgia",13941,45248
13193,"Macon County, Georgia",13846,28285
13195,"Madison County, Georgia",28362,45063
13197,"Marion County, Georgia",8646,35484
13199,"Meriwether County, Georgia",21195,34989
13201,"Miller County, Georgia",5911,36463
13205,"Mitchell County, Georgia",22778,31111
13207,"Monroe County, Georgia",27044,50625
13209,"Montgomery County, Georgia",9005,38111
13211,"Morgan County, Georgia",17943,54506
13213,"Murray County, Georgia",39358,38136
13215,"Muscogee County, Georgia",200303,42661
13217,"Newton County, Georgia",103901,51068
13219,"Oconee County, Georgia",35071,75946
13221,"Oglethorpe County, Georgia",14743,44403
13223,"Paulding County, Georgia",149830,60971
13225,"Peach County, Georgia",26907,41128
13227,"Pickens County, Georgia",29992,56769
13229,"Pierce County, Georgia",19030,42730
13231,"Pike County, Georgia",17843,50819
13233,"Polk County, Georgia",41263,39356
13235,"Pulaski County, Georgia",11460,38880
13237,"Putnam County, Georgia",21259,45762
13239,"Quitman County, Georgia",2095,29773
13241,"Rabun County, Georgia",16312,38277
13243,"Randolph County, Georgia",7224,30358
13245,"Richmond County, Georgia",201418,38595
13247,"Rockdale County, Georgia",87569,51072
13249,"Schley County, Georgia",5089,41227
13251,"Screven County, Georgia",14114,35047
13253,"Seminole County, Georgia",8696,35410
13255,"Spalding County, Georgia",64006,40548
13257,"Stephens County, Georgia",25584,37088
13259,"Stewart County, Georgia",5791,20882
13261,"Sumter County, Georgia",31070,33534
13263,"Talbot County, Georgia",6373,36957
13265,"Taliaferro County, Georgia",1904,28152
13267,"Tattnall County, Georgia",25260,35578
13269,"Taylor County, Georgia",8354,27114
13271,"Telfair County, Georgia",16405,27657
13273,"Terrell County, Georgia",9132,30438
13275,"Thomas County, Georgia",44977,38241
13277,"Tift County, Georgia",40691,37613
13279,"Toombs County, Georgia",27160,33081
13281,"Towns County, Georgia",10976,39321
13283,"Treutlen County, Georgia",6711,40204
13285,"Troup County, Georgia",69314,42545
13287,"Turner County, Georgia",8151,34667
13289,"Twiggs County, Georgia",8363,31625
13291,"Union County, Georgia",22033,41686
13293,"Upson County, Georgia",26394,35699
13295,"Walker County, Georgia",68143,41539
13297,"Walton County, Georgia",87436,54459
13299,"Ware County, Georgia",35671,34705
13301,"Warren County, Georgia",5504,31875
13303,"Washington County, Georgia",20680,37417
13305,"Wayne County, Georgia",30006,39908
13307,"Webster County, Georgia",2672,37072
13309,"Wheeler County, Georgia",7932,27779
13311,"White County, Georgia",28140,42264
13313,"Whitfield County, Georgia",103653,41764
13315,"Wilcox County, Georgia",8884,34071
13317,"Wilkes County, Georgia",9924,33462
13319,"Wilkinson County, Georgia",9312,38827
13321,"Worth County, Georgia",20988,38684
15001,"Hawaii County, Hawaii",193680,53936
15003,"Honolulu County, Hawaii",986999,77161
15005,"Kalawao County, Hawaii",91,65625
15007,"Kauai County, Hawaii",70447,68224
15009,"Maui County, Hawaii",162456,68777
16001,"Ada County, Idaho",425798,58099
16003,"Adams County, Idaho",3865,41335
16005,"Bannock County, Idaho",83815,45216
16007,"Bear Lake County, Idaho",5928,46863
16009,"Benewah County, Idaho",9068,42600
16011,"Bingham County, Idaho",45261,49943
16013,"Blaine County, Idaho",21427,58086
16015,"Boise County, Idaho",6891,44591
