id,Geography,medianHomeValue
13123,"Gilmer County, Georgia",152200
13125,"Glascock County, Georgia",68900
13127,"Glynn County, Georgia",161800
13129,"Gordon County, Georgia",112300
13131,"Grady County, Georgia",108200
13133,"Greene County, Georgia",182800
13135,"Gwinnett County, Georgia",173000
13137,"Habersham County, Georgia",130600
13139,"Hall County, Georgia",164500
13141,"Hancock County, Georgia",67700
13143,"Haralson County, Georgia",106600
13145,"Harris County, Georgia",200200
13147,"Hart County, Georgia",122200
13149,"Heard County, Georgia",94200
13151,"Henry County, Georgia",146100
13153,"Houston County, Georgia",136000
13155,"Irwin County, Georgia",81800
13157,"Jackson County, Georgia",155900
13159,"Jasper County, Georgia",115000
13161,"Jeff Davis County, Georgia",73900
13163,"Jefferson County, Georgia",67800
13165,"Jenkins County, Georgia",60600
13167,"Johnson County, Georgia",63800
13169,"Jones County, Georgia",129700
13171,"Lamar County, Georgia",121000
13173,"Lanier County, Georgia",112700
13175,"Laurens County, Georgia",85300
13177,"Lee County, Georgia",154800
13179,"Liberty County, Georgia",122500
13181,"Lincoln County, Georgia",118000
13183,"Long County, Georgia",99800
13185,"Lowndes County, Georgia",133700
13187,"Lumpkin County, Georgia",171900
13189,"McDuffie County, Georgia",101100
13191,"McIntosh County, Georgia",110200
13193,"Macon County, Georgia",69800
13195,"Madison County, Georgia",122800
13197,"Marion County, Georgia",103300
13199,"Meriwether County, Georgia",88400
13201,"Miller County, Georgia",89400
13205,"Mitchell County, Georgia",78300
13207,"Monroe County, Georgia",157900
13209,"Montgomery County, Georgia",75600
13211,"Morgan County, Georgia",190100
13213,"Murray County, Georgia",93700
13215,"Muscogee County, Georgia",138600
13217,"Newton County, Georgia",117900
13219,"Oconee County, Georgia",242000
13221,"Oglethorpe County, Georgia",113600
13223,"Paulding County, Georgia",140600
13225,"Peach County, Georgia",124500
13227,"Pickens County, Georgia",181100
13229,"Pierce County, Georgia",98100
13231,"Pike County, Georgia",154200
13233,"Polk County, Georgia",98000
13235,"Pulaski County, Georgia",114100
13237,"Putnam County, Georgia",156000
13239,"Quitman County, Georgia",69700
13241,"Rabun County, Georgia",158800
13243,"Randolph County, Georgia",71600
13245,"Richmond County, Georgia",100600
13247,"Rockdale County, Georgia",143100
13249,"Schley County, Georgia",99300
13251,"Screven County, Georgia",77800
13253,"Seminole County, Georgia",76800
