Id2,Geography,OneHundredPlus
12053,"Hernando County, Florida",11.1
12055,"Highlands County, Florida",8.3
12057,"Hillsborough County, Florida",22.1
12059,"Holmes County, Florida",9.8
12061,"Indian River County, Florida",19
12063,"Jackson County, Florida",9.1
12065,"Jefferson County, Florida",13.1
12067,"Lafayette County, Florida",12.8
12069,"Lake County, Florida",15.6
12071,"Lee County, Florida",19.1
12073,"Leon County, Florida",20.8
12075,"Levy County, Florida",7.1
12077,"Liberty County, Florida",12.9
12079,"Madison County, Florida",9
12081,"Manatee County, Florida",21.4
12083,"Marion County, Florida",11.5
12085,"Martin County, Florida",24
12086,"Miami-Dade County, Florida",19
12087,"Monroe County, Florida",26.7
12089,"Nassau County, Florida",25.7
12091,"Okaloosa County, Florida",22.9
12093,"Okeechobee County, Florida",8.9
12095,"Orange County, Florida",19.8
12097,"Osceola County, Florida",13.8
12099,"Palm Beach County, Florida",25.6
12101,"Pasco County, Florida",16.5
12103,"Pinellas County, Florida",19.3
12105,"Polk County, Florida",13.6
12107,"Putnam County, Florida",7.6
12109,"St. Johns County, Florida",34.1
12111,"St. Lucie County, Florida",14.1
12113,"Santa Rosa County, Florida",24
12115,"Sarasota County, Florida",21.5
12117,"Seminole County, Florida",25.3
12119,"Sumter County, Florida",17.5
12121,"Suwannee County, Florida",7.5
12123,"Taylor County, Florida",8.9
12125,"Union County, Florida",7.5
12127,"Volusia County, Florida",13.6
12129,"Wakulla County, Florida",14.7
12131,"Walton County, Florida",20.1
12133,"Washington County, Florida",10.3
13001,"Appling County, Georgia",12.2
13003,"Atkinson County, Georgia",8.3
13005,"Bacon County, Georgia",9.5
13007,"Baker County, Georgia",13.2
13009,"Baldwin County, Georgia",11.7
13011,"Banks County, Georgia",8.4
13013,"Barrow County, Georgia",16.3
13015,"Bartow County, Georgia",16.4
13017,"Ben Hill County, Georgia",6.3
13019,"Berrien County, Georgia",6.2
13021,"Bibb County, Georgia",14.5
13023,"Bleckley County, Georgia",12.5
13025,"Brantley County, Georgia",9.7
13027,"Brooks County, Georgia",10.7
